Yard Code,Species Code,Species Latin,Sampled Area (ha),DBH,DBH Round,Latitude,Longitude,Index
Y1,ACPL,Acer Platanoides,0.021,16.2,16,,,1
Y1,ACPL,Acer Platanoides,0.021,21.3,21,,,2
Y1,ACPL,Acer Platanoides,0.021,14,14,,,3
Y1,THOC,Thuja Occidentalis,0.021,5.6,6,,,4
Y1,THOC,Thuja Occidentalis,0.021,5.7,6,,,5
Y1,THOC,Thuja Occidentalis,0.021,6.4,6,,,6
Y1,THOC,Thuja Occidentalis,0.021,6.4,6,,,7
Y1,THOC,Thuja Occidentalis,0.021,6.5,7,,,8
Y1,THOC,Thuja Occidentalis,0.021,5.4,5,,,9
Y1,THOC,Thuja Occidentalis,0.021,8.8,9,,,10
Y1,THOC,Thuja Occidentalis,0.021,5.3,5,,,11
Y1,THOC,Thuja Occidentalis,0.021,7,7,,,12
Y1,THOC,Thuja Occidentalis,0.021,8.3,8,,,13
Y1,THOC,Thuja Occidentalis,0.021,8.8,9,,,14
Y1,THOC,Thuja Occidentalis,0.021,4.8,5,,,15
Y1,THOC,Thuja Occidentalis,0.021,5.1,5,,,16
Y1,THOC,Thuja Occidentalis,0.021,6.5,7,,,17
Y1,THOC,Thuja Occidentalis,0.021,5.3,5,,,18
Y1,THOC,Thuja Occidentalis,0.021,6.2,6,,,19
Y1,THOC,Thuja Occidentalis,0.021,6.7,7,,,21
Y1,THOC,Thuja Occidentalis,0.021,7.3,7,,,22
Y1,SYVU,Syringa Vulgaris,0.021,15.8,16,,,23
Y1,SYVU,Syngria Vulgaris,0.021,15.8,16,,,24
Y2,ACPL,Acer Platanoides,0.034,17.5,18,,,25
Y2,ACNE,Acer Negundo,0.034,35,35,,,26
Y2,ACPL,Acer Platanoides,0.034,41.1,41,,,27
Y2,THOC,Thuja Occidentalis,0.034,10.6,11,,,28
Y3,QURO,Quercas Robur,0.015,9.2,9,,,29
Y3,SYRE,Syringa Reticulata,0.015,12.6,13,,,30
Y3,PRVI,Prunus Virginiana,0.015,11.1,11,,,31
Y3,THOC,Thuja Occidentalis,0.015,6.7,7,,,32
Y4,ACNE,Acer Negundo,0.025,42,42,,,33
Y4,ACNE,Acer Negundo,0.025,30.6,31,,,34
Y4,ACPA,Acer Palmatum,0.025,6.4,6,,,35
Y4,PHCO,Philadelphus Coronarius,0.025,5.8,6,,,36
Y5,ACPL,Acer Platanoides,0.026,57,57,,,37
Y5,EUAT,Euonymus Atropurpureus,0.026,16.4,16,,,38
Y5,THOC,Thuja Occidentalis,0.026,26,26,,,39
Y5,THOC,Thuja Occidentalis,0.026,18.3,18,,,40
Y5,ABBA,Abies Balsamea,0.026,16.5,17,,,41
Y5,PNST,Pinus Strobus,0.026,59.3,59,,,42
Y5,BEPO,Betula Populifolia,0.026,24.4,24,,,43
Y5,AMCA,Amelanchier Canadensis,0.026,4.6,5,,,44
Y5,ABBA,Abies Balsamea,0.026,8.1,8,,,45
Y6,THOC,Thuja Occidentalis,0.035,17.5,18,,,46
Y6,THOC,Thuja Occidentalis,0.035,17.5,18,,,47
Y6,THOC,Thuja Occidentalis,0.035,17.5,18,,,48
Y6,THOC,Thuja Occidentalis,0.035,17.5,18,,,49
Y6,THOC,Thuja Occidentalis,0.035,36.6,37,,,50
Y6,THOC,Thuja Occidentalis,0.035,36.6,37,,,51
Y6,THOC,Thuja Occidentalis,0.035,36.6,37,,,52
Y6,THOC,Thuja Occidentalis,0.035,36.6,37,,,53
Y6,SYVU,Syngria Vulgaris,0.035,11.5,12,,,54
Y6,SYVU,Syngria Vulgaris,0.035,15.7,16,,,55
Y8,ACPL,Acer Platanoides,0.016,26.1,26,,,56
Y8,TICO,TIlia Cordata,0.016,8.3,8,,,57
Y8,SYVU,Syringa Vulgaris,0.016,35.7,36,,,58
Y8,THOC,Thuja Occidentalis,0.016,10.4,10,,,59
Y8,THOC,Thuja Occidentalis,0.016,15.3,15,,,60
Y8,THOC,Thuja Occidentalis,0.016,8.3,8,,,61
Y9,ACPL,Acer Platanoides,0.013,43.1,43,,,62
Y9,ACPA,Acer Palmatum,0.013,10.6,11,,,63
Y9,THOC,Thuja Occidentalis,0.013,7.9,8,,,64
Y10,PYCO,Pyrus Communis,0.034,16.6,17,,,65
Y10,ULAM,Ulmus Americana,0.034,33.3,33,,,66
Y10,MADO,Malus Domestica,0.034,12.5,13,,,67
Y10,SYVU,Syringa Vulgaris,0.034,10.3,10,,,68
Y11,QUAL,Quercus Alba,0.035,18.5,19,,,69
Y11,PIGL,Picea Glauca,0.035,16.2,16,,,70
Y11,ABBA,Abies Balsamea,0.035,16.7,17,,,71
Y11,PRAV,Prunus Pensylvanica,0.035,29.8,30,,,73
Y11,SADI,Salix Discolor,0.035,70,70,,,74
Y11,LITU,Liriodendron Tulipifera,0.035,5.4,5,,,75
Y11,BENI,Betula Nigra,0.035,4.5,5,,,76
Y11,THOC,Thuja Occidentalis,0.035,7.1,7,,,77
Y11,THOC,Thuja Occidentalis,0.035,5.7,6,,,78
Y11,PIAB,Picea Abies,0.035,17.3,17,,,79
Y12,AMLA,Amelanchier Laevis,0.014,24.8,25,,,80
Y12,SYVU,Syringa Vulgaris,0.014,21.6,22,,,81
Y12,SYVU,Syringa Vulgaris,0.014,10.8,11,,,82
Y12,SYVU,Syringa Vulgaris,0.014,11.5,12,,,83
Y12,TACA,Taxus Canadensis,0.014,13.9,14,,,84
Y12,TACA,Taxus Canadensis,0.014,7.3,7,,,85
