"","Yard.Code","indice660_class1_25m","indice660_class2_25m","indice660_class3_25m","indice660_class4_25m","indice660_class5_25m","indice660_class6_25m","indice660_class1_50m","indice660_class2_50m","indice660_class3_50m","indice660_class4_50m","indice660_class5_50m","indice660_class6_50m","indice660_class1_100m","indice660_class2_100m","indice660_class3_100m","indice660_class4_100m","indice660_class5_100m","indice660_class6_100m","indice660_class1_200m","indice660_class2_200m","indice660_class3_200m","indice660_class4_200m","indice660_class5_200m","indice660_class6_200m","indice660_class1_400m","indice660_class2_400m","indice660_class3_400m","indice660_class4_400m","indice660_class5_400m","indice660_class6_400m"
"1","Y03",0,0.0744525547445255,0.159124087591241,0.42287104622871,0.343552311435523,0,0,0.13446426344019,0.192840214544094,0.248596731944618,0.424098790071099,0,0,0.151022598156798,0.217396793334175,0.210705718974877,0.42087488953415,0,0,0.192876594866258,0.258918150709403,0.182975919206676,0.365229335217664,0,0,0.278618764287478,0.271607445817104,0.139270552064167,0.31050323783125,0
"2","Y18",0,0.0702519379844961,0.323158914728682,0.196220930232558,0.410368217054264,0,0,0.177379172894868,0.259840558046836,0.199427005480817,0.363353263577479,0,0,0.185691292959258,0.221762868053145,0.185785969009373,0.406759869978224,0,0,0.198188112365617,0.228701189398631,0.176464516538834,0.396646181696918,0,0,0.258294088949512,0.282199145750157,0.154896006531327,0.304610758769004,0
"3","Y28",0,0.0433300876338851,0.25365141187926,0.0861733203505355,0.616845180136319,0,0,0.222513089005236,0.256170531039641,0.0947394664672152,0.426576913487908,0,0,0.214743286313863,0.346587143803844,0.105998927072486,0.332670642809808,0,0,0.257615815172085,0.335953316660712,0.151514429756659,0.254916438410543,0,0,0.295441375890846,0.271358905277076,0.182508248853524,0.250691469978554,0
"4","Y31",0,0.0795730228044638,0.243085880640466,0.241145075206211,0.43619602134886,0,0,0.181738913801694,0.26818634778276,0.149103139013453,0.400971599402093,0,0,0.207635273702477,0.229152863227638,0.1309985802177,0.432213282852185,0,0,0.189200990822192,0.241298548699546,0.142240147353044,0.427260313125218,0,0,0.229128127520186,0.265263493264569,0.169127530142674,0.336480849072571,0
"5","Y44",0,0.116358325219085,0.245861733203505,0.156280428432327,0.481499513145083,0,0,0.215862326973438,0.26025688988652,0.180571143534106,0.343309639605936,0,0,0.271863657882279,0.228183683130819,0.155751933091368,0.344200725895534,0,0,0.30815647603395,0.207250553795584,0.207647539877252,0.276945430293214,0,0,0.263065875990171,0.238112970094746,0.223070734747683,0.2757504191674,0
"6","Y05",0,0.184376516254246,0.239689471130519,0.0912178554099951,0.48471615720524,0,0,0.258382151314969,0.240309111304998,0.126261996759317,0.375046740620715,0,0,0.192438778086342,0.244635193133047,0.138696036354456,0.424229992426155,0,0,0.179361159852954,0.248676030393737,0.145942340825903,0.426020468927406,0,0,0.230714547424093,0.25473524070475,0.171081976614522,0.343468235256635,0
"7","Y07",0,0.123114355231144,0.22287104622871,0.361557177615572,0.292457420924574,0,0,0.303279710687118,0.17583239805462,0.192667414889637,0.328220476368625,0,0,0.248895341497286,0.228979926776922,0.213072844337836,0.309051887387956,0,0,0.300291383156942,0.213019348794372,0.228049003183778,0.258640264864908,0,0,0.269557338855812,0.19452796750234,0.244449312013381,0.291465381628467,0
"8","Y20",0,0.0432879377431907,0.287937743190661,0.108463035019455,0.560311284046693,0,0,0.0989778110196958,0.232734978808277,0.113936674146098,0.554350536025929,0,0,0.171079622558147,0.224319121406255,0.145801117177391,0.458800138858207,0,0,0.186513481754375,0.270595801441865,0.141439324165529,0.401451392638232,0,0,0.225383019311262,0.259369884944862,0.166328152068722,0.348918943675153,0
"9","Y32",0,0.0762506070908208,0.263720252549781,0.0534239922292375,0.60660514813016,0,0,0.136250311642982,0.25243081525804,0.149339316878584,0.461979556220394,0,0,0.186097876502698,0.229167324014767,0.201621809232323,0.383112990250213,0,0,0.256053989678444,0.253410083366415,0.193870583564907,0.296665343390234,0,0,0.255465019494458,0.260755803534092,0.226741060227721,0.257038116743729,0
"10","Y45",0,0.111165285226719,0.312530472940029,0.0955631399317406,0.480741101901511,0,0,0.242798353909465,0.241426611796982,0.14602818306522,0.369746851228333,0,0,0.24087867693473,0.249305643226865,0.182331776290872,0.327483903547532,0,0,0.227619554256949,0.280657736984605,0.170381192088736,0.32134151666971,0,0,0.265484364296752,0.273314163732815,0.199440842400395,0.261760629570038,0
