Code,Date,Time,Temperature,Wind,Noise,Cloud,Time.obs,Bird.code,Bird.sci,Bird.gen,Bird.sp,Behaviour,Behaviour.type,Plant.common,Plant.sci,Plant.genus,Plant.sp,DBH,Notes,Landtype
Y05,2025-05-01,8:05:00,4,2,3,1,8:20:00,YBSA,Sphyrapicus varius,Sphyrapicus,varius,Peck,Foraging,Silver maple,Acer saccharinum,Acer,saccharinum,65,"Heard: WTSP, SOSP, HOSP, CHSP, BCCH, NOCA, MYWA, WBNU, BLJA, NAWA, AMRO, RCKI, AMGO, MERL.",yard
Y05,2025-05-01,8:05:00,4,2,3,1,8:20:00,YBSA,Sphyrapicus varius,Sphyrapicus,varius,Peck,Foraging,Silver maple,Acer saccharinum,Acer,saccharinum,65,,yard
Y05,2025-05-01,8:05:00,4,2,3,1,8:20:00,YBSA,Sphyrapicus varius,Sphyrapicus,varius,Peck,Foraging,Sugar maple,Acer saccharum,Acer,saccharum,55,,yard
Y05,2025-05-01,8:05:00,4,2,3,1,8:22:00,HOSP,Passer domesticus,Passer,domesticus,Vocalising,Vocalisation,Sugar maple,Acer saccharum,Acer,saccharum,55,,yard
Y05,2025-05-01,8:05:00,4,2,3,1,8:22:00,HOSP,Passer domesticus,Passer,domesticus,Vocalising,Vocalisation,White cedar,Thuja occidentalis,Thuja,occidentalis,264,Hedge,yard
Y05,2025-05-01,8:05:00,4,2,3,1,8:23:00,WTSP,Zonotrichia albicollis,Zonotrichia,albicollis,Peck,Foraging,Ground,NA,NA,NA,NA,,yard
Y05,2025-05-01,8:05:00,4,2,3,1,8:23:00,WTSP,Zonotrichia albicollis,Zonotrichia,albicollis,Peck,Foraging,Ground,NA,NA,NA,NA,,yard
Y05,2025-05-01,8:05:00,4,2,3,1,8:23:00,WTSP,Zonotrichia albicollis,Zonotrichia,albicollis,Peck,Foraging,Ground,NA,NA,NA,NA,,yard
Y05,2025-05-01,8:05:00,4,2,3,1,8:23:00,WTSP,Zonotrichia albicollis,Zonotrichia,albicollis,Peck,Foraging,Ground,NA,NA,NA,NA,,yard
Y05,2025-05-01,8:05:00,4,2,3,1,8:23:00,WTSP,Zonotrichia albicollis,Zonotrichia,albicollis,Peck,Foraging,Ground,NA,NA,NA,NA,,yard
S01,2025-05-01,8:32:00,4,2,3,1,8:32:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MERL perched in backyard on our side of street. Many BAWW heard and seen in backyards on other side of street. COHA flyover. Heard: NOCA, MYWA, RCKI, AMRO, SOSP, HOSP, AMGO, MYWA, BWWA.",street
Y20,2025-05-01,8:57:00,4,2,2,1,9:05:00,SCJU,Junco hyemalis,Junco,hyemalis,Inactive rest,Inactive rest,Common lilac,Syringa vulgaris,Syringa,vulgaris,22,Shrub,yard
Y20,2025-05-01,8:57:00,4,2,2,1,9:05:00,WTSP,Zonotrichia albicollis,Zonotrichia,albicollis,Peck,Foraging,Ground,NA,NA,NA,NA,"MERL perched in neighbours' yards vocalising for most of survey. Most birds silent. Heard: DOWO, NOFL, NOCA, BCCH, COGR, EUST, RCKI.",yard
S16,2025-05-01,9:29:00,5,2,2,1,9:31:00,AMCR,Corvus brachyrhynchos,Corvus,brachyrhynchos,Inactive rest,Inactive rest,Norway maple,Acer platanoides,Acer,platanoides,64,Perched there for about 5 mins.,street
S16,2025-05-01,9:29:00,5,2,2,1,9:41:00,AMCR,Corvus brachyrhynchos,Corvus,brachyrhynchos,Inactive rest,Inactive rest,Norway maple,Acer platanoides,Acer,platanoides,64,Saw 3 AMGO.,street
S16,2025-05-01,9:29:00,5,2,2,1,9:43:00,BCCH,Poecile atricapillus,Poecile,atricapillus,Glean,Foraging,Norway maple,Acer platanoides,Acer,platanoides,60,,street
S16,2025-05-01,9:29:00,5,2,2,1,9:43:00,BCCH,Poecile atricapillus,Poecile,atricapillus,Glean,Foraging,Norway maple,Acer platanoides,Acer,platanoides,60,,street
