"Code","Date","EUST","WBNU","HOSP","BLJA","NOCA","AMRO","SOSP","CHSP","NA","AMGO","BCCH","DOWO","NOFL","HOFI","YEWA","COGR","RBNU","HAWO"
"Y27",2024-06-03,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y33",2024-06-03,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y26",2024-06-04,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y06",2024-06-04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Y24",2024-06-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Y04",2024-06-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y25",2024-06-05,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Y49",2024-06-10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Y09",2024-06-10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Y07",2024-06-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y44",2024-06-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y31",2024-06-11,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"Y28",2024-06-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y06",2024-06-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y26",2024-06-13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y47",2024-06-13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Y18",2024-06-19,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Y03",2024-06-19,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Y05",2024-06-19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Y24",2024-06-20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y04",2024-06-20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y45",2024-06-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y13",2024-06-21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Y32",2024-06-21,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Y20",2024-06-25,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Y49",2024-06-25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y07",2024-06-26,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"Y44",2024-06-26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y28",2024-06-26,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Y27",2024-06-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y33",2024-06-27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Y09",2024-06-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y25",2024-06-28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y26",2024-07-02,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"Y31",2024-07-02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Y45",2024-07-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y32",2024-07-03,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Y13",2024-07-03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Y05",2024-07-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y18",2024-07-04,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
"Y03",2024-07-04,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"Y47",2024-07-04,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"Y06",2024-07-05,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Y24",2024-07-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Y49",2024-07-08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y27",2024-07-08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Y04",2024-07-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y25",2024-07-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y09",2024-07-09,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y33",2024-07-12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y47",2024-07-12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Y28",2024-07-12,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Y20",2024-07-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y31",2024-07-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y07",2024-07-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y44",2024-07-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
