"Code","Date","Time","Temperature","Wind","Noise","Cloud","Time.obs","Bird.code","Bird.sci","Bird.gen","Bird.sp","Behaviour","Behaviour.type","Plant.common","Plant.sci","Plant.genus","Plant.sp","DBH","Notes","Landtype"
"Y27",2024-06-03,07:57:00,21,2,NA,1,07:57:00,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Inactive rest","Inactive rest","Manitoba maple","Acer negundo","Acer","negundo",106,NA,"yard"
"Y27",2024-06-03,07:57:00,21,2,NA,1,08:03:00,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Peck","Foraging","Manitoba maple","Acer negundo","Acer","negundo",106,NA,"yard"
"Y27",2024-06-03,07:57:00,21,2,NA,1,08:05:00,"WBNU","Sita carolinensis","Sita","carolinensis","Peck","Foraging","Manitoba maple","Acer negundo","Acer","negundo",106,NA,"yard"
"Y27",2024-06-03,07:57:00,21,2,NA,1,08:08:00,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Inactive rest","Inactive rest","Manitoba maple","Acer negundo","Acer","negundo",106,NA,"yard"
"Y27",2024-06-03,07:57:00,21,2,NA,1,08:08:00,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Inactive rest","Inactive rest","Manitoba maple","Acer negundo","Acer","negundo",106,NA,"yard"
"Y27",2024-06-03,07:57:00,21,2,NA,1,08:12:00,"HOSP","Passer domesticus","Passer","domesticus","Inactive rest","Inactive rest","Asian meadowsweet","Spiraea trilobata","Spiraea","trilobata",NA,NA,"yard"
"Y27",2024-06-03,07:57:00,21,2,NA,1,08:17:00,"HOSP","Passer domesticus","Passer","domesticus","Peck","Foraging","Ground",NA,NA,NA,NA,NA,"yard"
"Y33",2024-06-03,08:57:00,21,2,NA,1,09:03:00,"HOSP","Passer domesticus","Passer","domesticus","Nest building","Reproduction","Japanese maple","Acer palmatum","Acer","palmatum",6,NA,"yard"
"Y33",2024-06-03,08:57:00,21,2,NA,1,09:04:00,"BLJA","Cyanocitta cristata","Cyanocitta","cristata","Inactive rest","Inactive rest","Manitoba maple","Acer negundo","Acer","negundo",39,NA,"yard"
"Y33",2024-06-03,08:57:00,21,2,NA,1,09:06:00,"HOSP","Passer domesticus","Passer","domesticus","Inactive rest","Inactive rest","Manitoba maple","Acer negundo","Acer","negundo",39,NA,"yard"
