"Code","Date","Time","Temperature","Wind","Noise","Cloud","Time.obs","Bird.code","Bird.sci","Bird.gen","Bird.sp","Behaviour","Behaviour.type","Plant.common","Plant.sci","Plant.genus","Plant.sp","DBH","Notes","Landtype"
"Y27",2024-06-03,28620,21,2,NA,1,28620,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Inactive rest","Inactive rest","Manitoba maple","Acer negundo","Acer","negundo",106,NA,"yard"
"Y27",2024-06-03,28620,21,2,NA,1,28980,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Peck","Foraging","Manitoba maple","Acer negundo","Acer","negundo",106,NA,"yard"
"Y27",2024-06-03,28620,21,2,NA,1,29100,"WBNU","Sita carolinensis","Sita","carolinensis","Peck","Foraging","Manitoba maple","Acer negundo","Acer","negundo",106,NA,"yard"
"Y27",2024-06-03,28620,21,2,NA,1,29280,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Inactive rest","Inactive rest","Manitoba maple","Acer negundo","Acer","negundo",106,NA,"yard"
"Y27",2024-06-03,28620,21,2,NA,1,29280,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Inactive rest","Inactive rest","Manitoba maple","Acer negundo","Acer","negundo",106,NA,"yard"
"Y27",2024-06-03,28620,21,2,NA,1,29520,"HOSP","Passer domesticus","Passer","domesticus","Inactive rest","Inactive rest","Asian meadowsweet","Spiraea trilobata","Spiraea","trilobata",NA,NA,"yard"
"Y27",2024-06-03,28620,21,2,NA,1,29820,"HOSP","Passer domesticus","Passer","domesticus","Peck","Foraging","Ground",NA,NA,NA,NA,NA,"yard"
"Y33",2024-06-03,32220,21,2,NA,1,32580,"HOSP","Passer domesticus","Passer","domesticus","Nest building","Reproduction","Japanese maple","Acer palmatum","Acer","palmatum",6,NA,"yard"
"Y33",2024-06-03,32220,21,2,NA,1,32640,"BLJA","Cyanocitta cristata","Cyanocitta","cristata","Inactive rest","Inactive rest","Manitoba maple","Acer negundo","Acer","negundo",39,NA,"yard"
"Y33",2024-06-03,32220,21,2,NA,1,32760,"HOSP","Passer domesticus","Passer","domesticus","Inactive rest","Inactive rest","Manitoba maple","Acer negundo","Acer","negundo",39,NA,"yard"
"Y33",2024-06-03,32220,21,2,NA,1,32940,"HOSP","Passer domesticus","Passer","domesticus","Inactive rest","Inactive rest","Manitoba maple","Acer negundo","Acer","negundo",39,NA,"yard"
"Y26",2024-06-04,28380,18,2,NA,1,28560,"NOCA","Cardinalis cardinalis","Cardinalis","cardinalis","Vocalising","Vocalisation","Common pear","Pyrus communis","Pyrus","communis",17,NA,"yard"
"Y26",2024-06-04,28380,18,2,NA,1,28680,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Inactive rest","Inactive rest","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y26",2024-06-04,28380,18,2,NA,1,28680,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Inactive rest","Inactive rest","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y26",2024-06-04,28380,18,2,NA,1,28920,"HOSP","Passer domesticus","Passer","domesticus","Inactive rest","Inactive rest","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y26",2024-06-04,28380,18,2,NA,1,29220,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Vocalising","Vocalisation","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y26",2024-06-04,28380,18,2,NA,1,29340,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Inactive rest","Inactive rest","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y26",2024-06-04,28380,18,2,NA,1,29460,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Bill wipe","Grooming","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y26",2024-06-04,28380,18,2,NA,1,29460,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Preening","Grooming","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y06",2024-06-04,29700,19,2,NA,1,31680,"AMRO","Turdus migratorius","Turdus","migratorius","Inactive rest","Inactive rest","Common serviceberry","Amelanchier canadensis","Amelanchier","canadensis",5,NA,"yard"
"Y06",2024-06-04,29700,19,2,NA,1,31680,"AMRO","Turdus migratorius","Turdus","migratorius","Vocalising","Vocalisation","Honeyberry","Ostrya virginiana","Ostrya","virginiana",2,NA,"yard"
"Y06",2024-06-04,29700,19,2,NA,1,31800,"AMRO","Turdus migratorius","Turdus","migratorius","Glean","Foraging","Ground",NA,NA,NA,NA,NA,"yard"
"Y24",2024-06-05,28020,20,2,NA,3,28020,"AMRO","Turdus migratorius","Turdus","migratorius","Inactive rest","Inactive rest","White cedar","Thuja occidentalis","Thuja","occidentalis",19,NA,"yard"
"Y24",2024-06-05,28020,20,2,NA,3,28380,"AMRO","Turdus migratorius","Turdus","migratorius","Inactive rest","Inactive rest","White cedar","Thuja occidentalis","Thuja","occidentalis",19,NA,"yard"
"Y24",2024-06-05,28020,20,2,NA,3,28440,"AMRO","Turdus migratorius","Turdus","migratorius","Inactive rest","Inactive rest","Ground",NA,NA,NA,NA,NA,"yard"
"Y24",2024-06-05,28020,20,2,NA,3,29100,"AMRO","Turdus migratorius","Turdus","migratorius","Inactive rest","Inactive rest","Ground",NA,NA,NA,NA,NA,"yard"
