"Code","Date","Time","Temperature","Wind","Noise","Cloud","Time.obs","Bird.code","Bird.sci","Bird.gen","Bird.sp","Behaviour","Behaviour.type","Plant.common","Plant.sci","Plant.genus","Plant.sp","DBH","Notes","Landtype"
"Y03",2024-05-15,07:03:00,13,4,NA,3,07:16:00,"HOSP","Passer domesticus","Passer","domesticus","Inactive rest","Inactive rest","Beauty bush","Linnaea amabilis","Linnaea","amabilis",15,NA,"yard"
"Y03",2024-05-15,07:03:00,13,4,NA,3,07:20:00,"EWPE","Contopus virens","Contopus","virens","Sally","Foraging","Burning bush","Euonymus alatus","Euonymous","alatus",10,NA,"yard"
"Y33",2024-05-15,08:09:00,13,4,NA,3,08:20:00,"HOSP","Passer domesticus","Passer","domesticus","Vocalising","Vocalisation","Manitoba maple","Acer negundo","Acer","negundo",52,NA,"yard"
"Y33",2024-05-15,08:09:00,13,4,NA,3,08:21:00,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Peck","Foraging","Manitoba maple","Acer negundo","Acer","negundo",52,NA,"yard"
"Y33",2024-05-15,08:09:00,13,4,NA,3,09:23:00,"HOSP","Passer domesticus","Passer","domesticus","Vocalising","Vocalisation","Manitoba maple","Acer negundo","Acer","negundo",39,NA,"yard"
"Y33",2024-05-15,08:09:00,13,4,NA,3,08:24:00,"LEFL","Empidonax minimus","Empidonax","minimus","Glean","Foraging","Manitoba maple","Acer negundo","Acer","negundo",52,NA,"yard"
"Y33",2024-05-15,08:09:00,13,4,NA,3,08:26:00,"AMRO","Turdus migratorius","Turdus","migratorius","Vocalising","Vocalisation","Manitoba maple","Acer negundo","Acer","negundo",39,NA,"yard"
"Y45",2024-05-15,09:03:00,13,4,NA,3,09:13:00,"HOSP","Passer domesticus","Passer","domesticus","Inactive rest","Inactive rest","White cedar","Thuja occidentalis","Thuja","occidentalis",18,NA,"yard"
"Y45",2024-05-15,09:03:00,13,4,NA,3,09:14:00,"HOSP","Passer domesticus","Passer","domesticus","Vocalising","Vocalisation","Balsam fir","Abies balsamea","Abies","balsamae",9,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:15:00,"NOCA","Cardinalis cardinalis","Cardinalis","cardinalis","Vocalising","Vocalisation","Red spruce","Picea rubens","Picea","rubens",51,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:16:00,"AMGO","Spinus tristis","Spinus","tristis","Vocalising","Vocalisation","Blue spruce","Picea pungens","Picea","pungens",30,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:16:00,"AMGO","Spinus tristis","Spinus","tristis","Inactive rest","Inactive rest","Blue spruce","Picea pungens","Picea","pungens",30,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:18:00,"CHSP","Spizella passerina","Spizella","passerina","Vocalising","Vocalisation","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:19:00,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:19:00,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:19:00,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:19:00,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:19:00,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:19:00,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:20:00,"CSWA","Setophaga pensylvanica","Setophaga","pensylvanica","Vocalising","Vocalisation","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:20:00,"CSWA","Setophaga pensylvanica","Setophaga","pensylvanica","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,07:04:00,13,4,NA,3,07:21:00,"NOCA","Cardinalis cardinalis","Cardinalis","cardinalis","Peck","Foraging","European crabapple","Malus sylvestris","Malus","sylvestris",37,NA,"yard"
