"Code","Date","Time","Temperature","Wind","Noise","Cloud","Time.obs","Bird.code","Bird.sci","Bird.gen","Bird.sp","Behaviour","Behaviour.type","Plant.common","Plant.sci","Plant.genus","Plant.sp","DBH","Notes","Landtype"
"Y03",2024-05-15,25380,13,4,NA,3,26160,"HOSP","Passer domesticus","Passer","domesticus","Inactive rest","Inactive rest","Beauty bush","Linnaea amabilis","Linnaea","amabilis",15,NA,"yard"
"Y03",2024-05-15,25380,13,4,NA,3,26400,"EWPE","Contopus virens","Contopus","virens","Sally","Foraging","Burning bush","Euonymus alatus","Euonymous","alatus",10,NA,"yard"
"Y33",2024-05-15,29340,13,4,NA,3,30000,"HOSP","Passer domesticus","Passer","domesticus","Vocalising","Vocalisation","Manitoba maple","Acer negundo","Acer","negundo",52,NA,"yard"
"Y33",2024-05-15,29340,13,4,NA,3,30060,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Peck","Foraging","Manitoba maple","Acer negundo","Acer","negundo",52,NA,"yard"
"Y33",2024-05-15,29340,13,4,NA,3,33780,"HOSP","Passer domesticus","Passer","domesticus","Vocalising","Vocalisation","Manitoba maple","Acer negundo","Acer","negundo",39,NA,"yard"
"Y33",2024-05-15,29340,13,4,NA,3,30240,"LEFL","Empidonax minimus","Empidonax","minimus","Glean","Foraging","Manitoba maple","Acer negundo","Acer","negundo",52,NA,"yard"
"Y33",2024-05-15,29340,13,4,NA,3,30360,"AMRO","Turdus migratorius","Turdus","migratorius","Vocalising","Vocalisation","Manitoba maple","Acer negundo","Acer","negundo",39,NA,"yard"
"Y45",2024-05-15,32580,13,4,NA,3,33180,"HOSP","Passer domesticus","Passer","domesticus","Inactive rest","Inactive rest","White cedar","Thuja occidentalis","Thuja","occidentalis",18,NA,"yard"
"Y45",2024-05-15,32580,13,4,NA,3,33240,"HOSP","Passer domesticus","Passer","domesticus","Vocalising","Vocalisation","Balsam fir","Abies balsamea","Abies","balsamae",9,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26100,"NOCA","Cardinalis cardinalis","Cardinalis","cardinalis","Vocalising","Vocalisation","Red spruce","Picea rubens","Picea","rubens",51,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26160,"AMGO","Spinus tristis","Spinus","tristis","Vocalising","Vocalisation","Blue spruce","Picea pungens","Picea","pungens",30,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26160,"AMGO","Spinus tristis","Spinus","tristis","Inactive rest","Inactive rest","Blue spruce","Picea pungens","Picea","pungens",30,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26280,"CHSP","Spizella passerina","Spizella","passerina","Vocalising","Vocalisation","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26340,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26340,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26340,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26340,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26340,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26340,"WAVI","Vireo gilvus","Vireo","gilvus","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26400,"CSWA","Setophaga pensylvanica","Setophaga","pensylvanica","Vocalising","Vocalisation","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26400,"CSWA","Setophaga pensylvanica","Setophaga","pensylvanica","Glean","Foraging","Siberian elm","Ulmus pumila","Ulmus","pumila",69,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26460,"NOCA","Cardinalis cardinalis","Cardinalis","cardinalis","Peck","Foraging","European crabapple","Malus sylvestris","Malus","sylvestris",37,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26460,"NOCA","Cardinalis cardinalis","Cardinalis","cardinalis","Inactive rest","Inactive rest","European crabapple","Malus sylvestris","Malus","sylvestris",37,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26520,"WIWA","Cardellina pusilla","Cardellina","pusilla","Vocalising","Vocalisation","European crabapple","Malus sylvestris","Malus","sylvestris",37,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26580,"SWTH","Catharus ustulatus","Catharus","ustulatus","Glean","Foraging",NA,NA,NA,NA,NA,NA,"yard"
"Y18",2024-05-16,25440,13,4,NA,3,26580,"SWTH","Catharus ustulatus","Catharus","ustulatus","Inactive rest","Inactive rest","European crabapple","Malus sylvestris","Malus","sylvestris",37,NA,"yard"
"Y04",2024-05-16,29760,13,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yard"
"Y26",2024-05-17,31080,17,4,NA,2,31200,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Inactive rest","Inactive rest","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y26",2024-05-17,31080,17,4,NA,2,31440,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Inactive rest","Inactive rest","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y26",2024-05-17,31080,17,4,NA,2,31560,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Vocalising","Vocalisation","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y26",2024-05-17,31080,17,4,NA,2,31560,"EUST","Sturnus vulgaris","Sturnus","vulgaris","Preening","Grooming","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y26",2024-05-17,31080,17,4,NA,2,31800,"NOCA","Cardinalis cardinalis","Cardinalis","cardinalis","Vocalising","Vocalisation","Dead standing","Dead standing","Dead","standing",34,NA,"yard"
"Y13",2024-05-17,33300,17,4,NA,2,33600,"HOSP","Passer domesticus","Passer","domesticus","Vocalising","Vocalisation","Susan magnolia","Magnolia soulangeana","Magnolia","soulangeana",17,NA,"yard"
"Y13",2024-05-17,33300,17,4,NA,2,33600,"HOSP","Passer domesticus","Passer","domesticus","Vocalising","Vocalisation","Lily magnolia","Magnolia soulangeana","Magnolia","soulangeana",17,NA,"yard"
"Y13",2024-05-17,33300,17,4,NA,2,33600,"HOSP","Passer domesticus","Passer","domesticus","Vocalising","Vocalisation","Lily magnolia","Magnolia soulangeana","Magnolia","soulangeana",17,NA,"yard"
"Y13",2024-05-17,33300,17,4,NA,2,33720,"HOSP","Passer domesticus","Passer","domesticus","Glean","Foraging","Norway spruce","Picea abies","Picea","abies",10,NA,"yard"
"Y13",2024-05-17,33300,17,4,NA,2,33840,"HOSP","Passer domesticus","Passer","domesticus","Glean","Foraging","Burning bush","Euonymus alatus","Euonymus","alatus",30,NA,"yard"
"Y13",2024-05-17,33300,17,4,NA,2,34080,"AMRO","Turdus migratorius","Turdus","migratorius","Bathing","Grooming","Bird bath",NA,NA,NA,NA,NA,"yard"
"Y13",2024-05-17,33300,17,4,NA,2,34200,"MODO","Zenaida macroura","Zenaida","macroura","Inactive rest","Inactive rest","Silver maple","Acer saccharinum","Acer","saccharinum",135,NA,"yard"
"Y13",2024-05-17,33300,17,4,NA,2,34320,"MODO","Zenaida macroura","Zenaida","macroura","Vocalising","Vocalisation","Silver maple","Acer saccharinum","Acer","saccharinum",135,NA,"yard"
"Y13",2024-05-17,33300,17,4,NA,2,34320,"MODO","Zenaida macroura","Zenaida","macroura","Vocalising","Vocalisation","Silver maple","Acer saccharinum","Acer","saccharinum",135,NA,"yard"
"Y32",2024-05-21,24180,20,3,NA,2,24600,"NOCA","Cardinalis cardinalis","Cardinalis","cardinalis","Vocalising","Vocalisation","European crabapple","Malus sylvestris","Malus","sylvestris",36,NA,"yard"
"Y06",2024-05-21,26700,20,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yard"
"Y20",2024-05-21,29520,21,3,NA,2,29700,"HOSP","Passer domesticus","Passer","domesticus","Glean","Foraging","Feeder",NA,NA,NA,NA,NA,"yard"
"Y20",2024-05-21,29520,21,3,NA,2,29700,"HOSP","Passer domesticus",NA,NA,"Glean","Foraging","Feeder",NA,NA,NA,NA,NA,"yard"
"Y20",2024-05-21,29520,21,3,NA,2,29700,"HOSP","Passer domesticus","Passer","domesticus","Glean","Foraging","Feeder",NA,NA,NA,NA,NA,"yard"
"Y20",2024-05-21,29520,21,3,NA,2,29700,"HOSP","Passer domesticus","Passer","domesticus","Glean","Foraging","Feeder",NA,NA,NA,NA,NA,"yard"
"Y20",2024-05-21,29520,21,3,NA,2,29700,"HOSP","Passer domesticus","Passer","domesticus","Glean","Foraging","Feeder",NA,NA,NA,NA,NA,"yard"
"Y20",2024-05-21,29520,21,3,NA,2,29700,"HOSP","Passer domesticus",NA,NA,"Glean","Foraging","Feeder",NA,NA,NA,NA,NA,"yard"
"Y20",2024-05-21,29520,21,3,NA,2,29760,"HOSP","Passer domesticus","Passer","domesticus","Glean","Foraging","Common lilac","Syringa vulgaris","Syringa","vulgaris",14,NA,"yard"
"Y20",2024-05-21,29520,21,3,NA,2,29880,"NOCA","Cardinalis cardinalis","Cardinalis","cardinalis","Peck","Foraging","Ground",NA,NA,NA,NA,NA,"yard"
