"Yard.Code","area","shrub","tree","mean_dbh","n_fruiting_plants","n_native_plants","season","richness","year"
"Y03",0.036,10,1,5.9025974025974,0,0,"migration",3,"2024"
"Y03",0.036,10,1,5.9025974025974,0,0,"migration",6,"2025"
"Y03",0.036,10,1,5.9025974025974,0,0,"breeding",4,"2024"
"Y03",0.036,10,1,5.9025974025974,0,0,"breeding",2,"2025"
"Y18",0.035,17,13,21.0333333333333,1,6,"migration",9,"2024"
"Y18",0.035,17,13,21.0333333333333,1,6,"migration",16,"2025"
"Y18",0.035,17,13,21.0333333333333,1,6,"breeding",7,"2024"
"Y18",0.035,17,13,21.0333333333333,1,6,"breeding",4,"2025"
"Y28",0.023,3,2,30.05,0,2,"migration",2,"2024"
"Y28",0.023,3,2,30.05,0,2,"migration",14,"2025"
"Y28",0.023,3,2,30.05,0,2,"breeding",4,"2024"
"Y28",0.023,3,2,30.05,0,2,"breeding",2,"2025"
"Y31",0.021,2,4,31.1666666666667,0,0,"migration",0,"2024"
"Y31",0.021,2,4,31.1666666666667,0,0,"migration",7,"2025"
"Y31",0.021,2,4,31.1666666666667,0,0,"breeding",5,"2024"
"Y31",0.021,2,4,31.1666666666667,0,0,"breeding",1,"2025"
"Y44",0.015,3,2,24.2428571428571,1,3,"migration",1,"2024"
"Y44",0.015,3,2,24.2428571428571,1,3,"migration",3,"2025"
"Y44",0.015,3,2,24.2428571428571,1,3,"breeding",1,"2024"
"Y44",0.015,3,2,24.2428571428571,1,3,"breeding",1,"2025"
"Y05",0.036,3,4,28.7142857142857,0,3,"migration",4,"2024"
"Y05",0.036,3,4,28.7142857142857,0,3,"migration",4,"2025"
"Y05",0.036,3,4,28.7142857142857,0,3,"breeding",2,"2024"
"Y05",0.036,3,4,28.7142857142857,0,3,"breeding",2,"2025"
"Y07",0.028,0,1,18,1,0,"migration",0,"2024"
"Y07",0.028,0,1,18,1,0,"migration",1,"2025"
"Y07",0.028,0,1,18,1,0,"breeding",4,"2024"
"Y07",0.028,0,1,18,1,0,"breeding",1,"2025"
"Y20",0.027,6,2,4.29166666666667,0,0,"migration",3,"2024"
"Y20",0.027,6,2,4.29166666666667,0,0,"migration",2,"2025"
"Y20",0.027,6,2,4.29166666666667,0,0,"breeding",3,"2024"
"Y20",0.027,6,2,4.29166666666667,0,0,"breeding",0,"2025"
"Y32",0.023,5,2,9.57142857142857,0,0,"migration",2,"2024"
"Y32",0.023,5,2,9.57142857142857,0,0,"migration",1,"2025"
"Y32",0.023,5,2,9.57142857142857,0,0,"breeding",4,"2024"
"Y32",0.023,5,2,9.57142857142857,0,0,"breeding",3,"2025"
"Y45",0.02,2,5,10.7142857142857,0,4,"migration",1,"2024"
"Y45",0.02,2,5,10.7142857142857,0,4,"migration",1,"2025"
"Y45",0.02,2,5,10.7142857142857,0,4,"breeding",1,"2024"
