"dataset","Code","richness"
"total","Y03",9
"total","Y33",9
"total","Y45",3
"total","Y18",27
"total","Y04",6
"total","Y26",6
"total","Y13",13
"total","Y32",5
"total","Y06",4
"total","Y20",6
"total","Y05",6
"total","Y25",4
"total","Y49",8
"total","Y27",6
"total","Y28",16
"total","Y31",9
"total","Y07",5
"total","Y44",6
"total","Y47",13
"total","Y24",4
"total","Y09",2
"total","Y50",8
"mig_2024","Y03",3
"mig_2024","Y33",4
"mig_2024","Y45",1
"mig_2024","Y18",9
"mig_2024","Y04",0
"mig_2024","Y26",2
"mig_2024","Y13",5
"mig_2024","Y32",2
"mig_2024","Y06",0
"mig_2024","Y20",3
"mig_2024","Y05",4
"mig_2024","Y25",1
"mig_2024","Y49",5
"mig_2024","Y27",1
"mig_2024","Y28",2
"mig_2024","Y31",0
"mig_2024","Y07",0
"mig_2024","Y44",1
"mig_2024","Y47",2
"mig_2024","Y24",1
"mig_2024","Y09",1
"mig_2025","Y05",4
"mig_2025","Y20",2
"mig_2025","Y26",2
"mig_2025","Y06",0
"mig_2025","Y49",4
"mig_2025","Y09",1
"mig_2025","Y32",1
"mig_2025","Y45",1
"mig_2025","Y44",3
"mig_2025","Y31",7
"mig_2025","Y18",16
"mig_2025","Y28",14
"mig_2025","Y03",6
"mig_2025","Y24",3
"mig_2025","Y04",5
"mig_2025","Y13",11
"mig_2025","Y47",8
"mig_2025","Y50",8
"mig_2025","Y07",1
"mig_2025","Y33",2
"mig_2025","Y27",3
"mig_total","Y03",8
"mig_total","Y33",5
"mig_total","Y45",2
"mig_total","Y18",23
"mig_total","Y04",5
"mig_total","Y26",3
"mig_total","Y13",13
"mig_total","Y32",2
"mig_total","Y06",0
"mig_total","Y20",5
"mig_total","Y05",6
"mig_total","Y25",1
"mig_total","Y49",8
"mig_total","Y27",3
"mig_total","Y28",15
"mig_total","Y31",7
"mig_total","Y07",1
"mig_total","Y44",4
"mig_total","Y47",9
"mig_total","Y24",3
"mig_total","Y09",2
"mig_total","Y50",8
"breed_2024","Y27",4
"breed_2024","Y33",6
"breed_2024","Y26",5
"breed_2024","Y06",3
"breed_2024","Y24",2
"breed_2024","Y04",2
"breed_2024","Y25",3
"breed_2024","Y49",2
"breed_2024","Y09",1
"breed_2024","Y07",4
"breed_2024","Y44",1
"breed_2024","Y31",5
"breed_2024","Y28",4
"breed_2024","Y47",5
"breed_2024","Y18",7
"breed_2024","Y03",4
"breed_2024","Y05",2
"breed_2024","Y45",1
"breed_2024","Y13",2
"breed_2024","Y32",4
"breed_2024","Y20",3
"breed_2025","Y28",2
"breed_2025","Y44",1
"breed_2025","Y03",2
"breed_2025","Y31",1
"breed_2025","Y18",4
"breed_2025","Y04",0
"breed_2025","Y24",1
"breed_2025","Y06",1
"breed_2025","Y26",3
"breed_2025","Y09",1
"breed_2025","Y49",5
"breed_2025","Y47",2
"breed_2025","Y50",1
"breed_2025","Y13",1
"breed_2025","Y05",2
"breed_2025","Y20",0
"breed_2025","Y07",1
"breed_2025","Y27",0
"breed_2025","Y33",0
"breed_2025","Y32",3
"breed_2025","Y45",3
"breed_total","Y27",4
"breed_total","Y33",6
"breed_total","Y26",6
"breed_total","Y06",4
"breed_total","Y24",3
"breed_total","Y04",2
"breed_total","Y25",3
"breed_total","Y49",5
"breed_total","Y09",2
"breed_total","Y07",4
"breed_total","Y44",2
"breed_total","Y31",5
"breed_total","Y28",4
"breed_total","Y47",7
"breed_total","Y18",10
"breed_total","Y03",4
"breed_total","Y05",3
"breed_total","Y45",3
"breed_total","Y13",2
"breed_total","Y32",5
"breed_total","Y20",3
"breed_total","Y50",1
