"Code","EUST","WBNU","HOSP","BLJA","NOCA","AMRO","SOSP","CHSP","NA","AMGO","BCCH","DOWO","NOFL","HOFI","YEWA","COGR","RBNU","HAWO"
"Y27",1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Y33",1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"Y26",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"Y06",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"Y24",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"Y04",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y25",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Y49",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Y09",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Y07",1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"Y44",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y31",0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"Y28",0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"Y47",0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
"Y18",0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0
"Y03",0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"Y05",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"Y45",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y13",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Y32",0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Y20",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
