"Code","Date","HOFI","BCCH","REVI","SOSP","NOCA","AMRO","EUST","HAWO","AMCR","NA","LEFL","Unknown","YEWA","HOSP","CHSP"
"Y28",2025-06-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y44",2025-06-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Y03",2025-06-13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Y31",2025-06-13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y18",2025-06-13,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
"Y04",2025-06-16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Y24",2025-06-16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Y06",2025-06-02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Y26",2025-06-02,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"Y09",2025-07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Y49",2025-07-02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Y47",2025-06-23,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Y50",2025-06-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Y13",2025-06-23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y05",2025-06-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Y20",2025-06-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Y07",2025-06-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y27",2025-06-26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Y33",2025-06-26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Y09",2025-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Y49",2025-06-03,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1
"Y32",2025-07-03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Y45",2025-07-03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Y06",2025-06-30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Y26",2025-06-30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Y45",2025-06-04,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"Y32",2025-06-04,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
