"Code","EUST","WBNU","HOSP","BLJA","NOCA","AMRO","SOSP","CHSP","NA","AMGO","BCCH","DOWO","NOFL","HOFI","YEWA","COGR","RBNU","HAWO","REVI","AMCR","LEFL","Unknown"
"Y27",1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y33",1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Y26",1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"Y06",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"Y24",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y04",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y25",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y49",1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"Y09",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y07",1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y44",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Y31",0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Y28",0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"Y47",1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"Y18",1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0
"Y03",0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y05",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y45",0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y13",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y32",1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y20",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y50",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
