"Yard.Code","area","back_area_ha","shrub","tree","density","mean_dbh","n_fruiting_plants","n_native_plants","season","richness"
"Y03",0.036,0.025,10,1,305.555555555556,5.9025974025974,0,0,"SR_total",9
"Y03",0.036,0.025,10,1,305.555555555556,5.9025974025974,0,0,"SR_mig_2024",3
"Y03",0.036,0.025,10,1,305.555555555556,5.9025974025974,0,0,"SR_mig_2025",6
"Y03",0.036,0.025,10,1,305.555555555556,5.9025974025974,0,0,"SR_mig",8
"Y03",0.036,0.025,10,1,305.555555555556,5.9025974025974,0,0,"SR_breed_2024",4
"Y03",0.036,0.025,10,1,305.555555555556,5.9025974025974,0,0,"SR_breed_2025",2
"Y03",0.036,0.025,10,1,305.555555555556,5.9025974025974,0,0,"SR_breed",4
"Y18",0.035,0.023,17,13,857.142857142857,21.0333333333333,1,6,"SR_total",27
"Y18",0.035,0.023,17,13,857.142857142857,21.0333333333333,1,6,"SR_mig_2024",9
"Y18",0.035,0.023,17,13,857.142857142857,21.0333333333333,1,6,"SR_mig_2025",16
"Y18",0.035,0.023,17,13,857.142857142857,21.0333333333333,1,6,"SR_mig",23
"Y18",0.035,0.023,17,13,857.142857142857,21.0333333333333,1,6,"SR_breed_2024",7
"Y18",0.035,0.023,17,13,857.142857142857,21.0333333333333,1,6,"SR_breed_2025",4
"Y18",0.035,0.023,17,13,857.142857142857,21.0333333333333,1,6,"SR_breed",10
"Y28",0.023,0.017,3,2,217.391304347826,30.05,0,2,"SR_total",16
"Y28",0.023,0.017,3,2,217.391304347826,30.05,0,2,"SR_mig_2024",2
"Y28",0.023,0.017,3,2,217.391304347826,30.05,0,2,"SR_mig_2025",14
"Y28",0.023,0.017,3,2,217.391304347826,30.05,0,2,"SR_mig",15
"Y28",0.023,0.017,3,2,217.391304347826,30.05,0,2,"SR_breed_2024",4
"Y28",0.023,0.017,3,2,217.391304347826,30.05,0,2,"SR_breed_2025",2
"Y28",0.023,0.017,3,2,217.391304347826,30.05,0,2,"SR_breed",4
"Y31",0.021,0.012,2,4,285.714285714286,31.1666666666667,0,0,"SR_total",9
"Y31",0.021,0.012,2,4,285.714285714286,31.1666666666667,0,0,"SR_mig_2024",0
"Y31",0.021,0.012,2,4,285.714285714286,31.1666666666667,0,0,"SR_mig_2025",7
"Y31",0.021,0.012,2,4,285.714285714286,31.1666666666667,0,0,"SR_mig",7
"Y31",0.021,0.012,2,4,285.714285714286,31.1666666666667,0,0,"SR_breed_2024",5
"Y31",0.021,0.012,2,4,285.714285714286,31.1666666666667,0,0,"SR_breed_2025",1
"Y31",0.021,0.012,2,4,285.714285714286,31.1666666666667,0,0,"SR_breed",5
"Y44",0.015,0.013,3,2,333.333333333333,24.2428571428571,1,3,"SR_total",6
